No,Group,What is your current primary status?,What is your primary field or background?,"How would you rate your English proficiency for reading technical or academic materials (e.g., documentation, research papers)?",How many years of active programming experience do you have?,How would you rate your overall proficiency in Python development?,How would you rate your overall proficiency in software testing?,How would you rate your overall proficiency in writing unit tests?,How would you rate your experience in pytest?,"How often do you use AI-assisted tools (e.g., GitHub Copilot, Claude, ChatGPT) for coding?",Which AI-assisted coding tools have you used before? (Select all that apply),"When using AI-assisted coding tools, how do you typically use them? (Select all that apply)",How would you rate your experience in using Github Copilot?,I have a generally positive attitude towards using AI-assisted coding tools in software development.,I feel comfortable to integrate AI coding assistants into my programming workflow.,I am willing to rely on AI tools to help complete my programming tasks.,I expect that using GitHub Copilot will allow me to complete the test generation tasks more quickly.,I expect that using GitHub Copilot will help me achieve better test quality.,"Overall, I expect GitHub Copilot to be a useful assistant for this unit testing task.",I trust Copilot's ability to accurately capture the intended business logic and test oracles of the code under test.,I believe the test cases generated by Copilot will be mostly executable and correct without requiring major manual modifications.,"I am concerned that Copilot will generate ""hallucinated"" assertions or hidden logic errors that will cost me a lot of time to debug.",I am confident in my ability to write effective comments or prompts to guide Copilot in generating the tests I want.,I am confident that I can accurately identify flaws or invalid assertions in the Copilot-generated tests.,"I am confident that I can effectively adapt my testing workflow to collaborate with Copilot (e.g., managing code context, and iteratively refining suggestions)",Quiz1,Quiz2,Which operating systems are you comfortable using for programming? (Select all that apply),Which development environments are you comfortable using? (Select all that apply)
1,Manual,Master student,Computer Science / Software Engineering related field,5,3-5 years,2,3,2,3,Frequently (a few times per week),ChatGPT,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems)",0,5,4,5,4,5,5,4,4,4,4,3,2,A,A,Windows,"Visual Studio Code (VS Code);JetBrains IDEs (e.g., PyCharm, IntelliJ IDEA);Jupyter Notebook / JupyterLab"
2,AI,Master student,Computer Science / Software Engineering related field,5,5-10 years,3,4,4,2,Very frequently (almost daily),Github Copilot;ChatGPT,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems);Refactoring and code optimization (e.g., improving code structure or performance);Documentation generation (e.g., writing docstrings, Javadocs, or inline comments)",4,2,5,3,4,2,4,2,1,5,3,2,3,A,B,Windows;macOS;Linux,Visual Studio Code (VS Code);Visual Studio
3,AI,Master student,Computer Science / Software Engineering related field,5,3-5 years,5,4,4,3,Very frequently (almost daily),ChatGPT;Claude Code,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Generating test cases (e.g., writing unit, integration, or system tests);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems);Refactoring and code optimization (e.g., improving code structure or performance);Documentation generation (e.g., writing docstrings, Javadocs, or inline comments);API and sntax querying or Q&A (e.g., using it as a substitute for Google or StackOverflow)",5,5,5,5,5,5,5,4,5,3,5,3,5,A,A,macOS,"JetBrains IDEs (e.g., PyCharm, IntelliJ IDEA)"
4,Manual,Master student,Computer Science / Software Engineering related field,4,5-10 years,3,2,2,2,Very frequently (almost daily),Github Copilot;ChatGPT;Claude Code,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems);Refactoring and code optimization (e.g., improving code structure or performance);Documentation generation (e.g., writing docstrings, Javadocs, or inline comments);API and sntax querying or Q&A (e.g., using it as a substitute for Google or StackOverflow)",4,4,4,5,4,4,5,3,3,3,4,4,5,A,A,Windows;macOS;Linux,Visual Studio Code (VS Code);Jupyter Notebook / JupyterLab
5,Manual,Master student,Computer Science / Software Engineering related field,3,3-5 years,2,2,2,1,Frequently (a few times per week),Github Copilot;ChatGPT;Claude Code,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems)",3,4,4,4,4,4,4,4,4,4,4,3,3,C,B,macOS,Visual Studio Code (VS Code)
6,Manual,Master student,Computer Science / Software Engineering related field,4,3-5 years,3,3,3,3,Very frequently (almost daily),Github Copilot;ChatGPT,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Generating test cases (e.g., writing unit, integration, or system tests);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems);Refactoring and code optimization (e.g., improving code structure or performance);Documentation generation (e.g., writing docstrings, Javadocs, or inline comments)",4,4,4,4,4,4,4,4,4,2,4,4,4,C,A,Windows;Linux,Visual Studio Code (VS Code);Jupyter Notebook / JupyterLab
7,AI,Master student,Computer Science / Software Engineering related field,3,1_2 years,2,3,1,0,Very frequently (almost daily),Claude Code,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems);Refactoring and code optimization (e.g., improving code structure or performance);API and sntax querying or Q&A (e.g., using it as a substitute for Google or StackOverflow)",0,5,4,4,3,4,4,4,4,3,3,3,3,C,D,Windows,"JetBrains IDEs (e.g., PyCharm, IntelliJ IDEA)"
8,Manual,Master student,Computer Science / Software Engineering related field,4,3-5 years,4,1,0,0,Frequently (a few times per week),Github Copilot;ChatGPT,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Code explanation and comprehension (e.g., explaining unfamiliar code or legacy systems);Documentation generation (e.g., writing docstrings, Javadocs, or inline comments);API and sntax querying or Q&A (e.g., using it as a substitute for Google or StackOverflow)",4,4,5,4,5,5,5,5,4,3,4,2,3,A,D,Windows;Linux,"Visual Studio Code (VS Code);JetBrains IDEs (e.g., PyCharm, IntelliJ IDEA);Jupyter Notebook / JupyterLab"
9,Manual,Master student,Computer Science / Software Engineering related field,3,3-5 years,3,1,1,0,Very frequently (almost daily),Github Copilot;Cursor,"Code completion and generation (e.g., autocompleting lines, generating standard code structures);Debugging and error fixing (e.g., finding bugs, fixing syntax/runtime errors);Refactoring and code optimization (e.g., improving code structure or performance);Documentation generation (e.g., writing docstrings, Javadocs, or inline comments)",4,4,4,4,4,4,4,2,4,3,3,3,3,C,C,Windows,Visual Studio Code (VS Code)
10,AI,Master student,Computer Science / Software Engineering related field,5,5-10 years,2,4,3,0,Never,None,Not Applicable,0,2,1,1,3,3,3,2,3,4,2,2,3,A,D,Windows,Visual Studio Code (VS Code);Visual Studio
